;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"06-03 19";0,4981861;-1,060145;-0,8109922;0,7500789;0,49948;-0,1486008;-0,8316192;-0,2493713;0,8704082;-0,2473688
"06-03 20";0,4711258;-0,9749165;-0,6536405;0,72585;0,511084;-0,1486008;-0,6050692;-0,1302542;0,9770331;0,1026396
"06-03 21";0,06930473;-0,6595044;-0,6031376;0,7206862;0,7053921;-0,1486008;-0,3336228;-0,1105503;1,07352;0,5980894
"06-03 22";-0,5266478;-0,1541821;-0,3200835;0,6530017;0,3278007;-0,1486008;0,1294156;-0,1701487;1,067199;0,6873701
"06-03 23";-0,7359054;0,08320978;-0,1248968;0,5289425;0,7118626;-0,1486008;0,4032683;-0,2905525;0,987489;0,6723152
"07-03 00";-0,6206048;-0,3955799;-0,373495;0,5489914;0,6568169;-0,1486008;-0,2007419;-0,5029048;0,8364422;0,7551857
"07-03 01";0,01824402;-0,5520836;-0,5027717;0,3085608;0,3074669;-0,1486008;-0,378776;-0,4631043;0,7447541;0,7947575
"07-03 02";0,1910215;-0,2158606;-0,2896751;0,1647596;0,1706783;-0,1486008;-0,2730148;-0,3269995;0,6988728;0,7628012
"07-03 03";-0,09353375;-0,101102;-0,2155933;0,2666177;-0,4873683;-0,1486008;-0,1786176;-0,3454101;0,8024947;0,8037588
"07-03 04";0,3784146;-0,3097518;-0,3485575;0,09960794;-0,4044672;-0,1486008;-0,3750356;-0,4682575;0,7639982;0,6871666
"07-03 05";0,5158219;-0,7709771;-0,5347539;0,0545699;-0,05086316;-0,1486008;-0,8203822;-0,5460762;0,6523667;0,5465552
"07-03 06";0,4992628;-1,037609;-0,7271969;-0,1080333;-0,5478228;-0,1486008;-1,091339;-0,5332649;0,5043334;0,5625135
"07-03 07";0,08844595;-0,7453957;-0,6344268;-0,4353038;-0,1472308;-0,1486008;-0,9701952;-0,7740832;0,4388965;0,590783
"07-03 08";-0,1815795;-0,9664947;-0,7382942;-0,5506955;0,8477361;-0,1486008;-1,094696;-1,008339;0,2998993;0,4825381
"07-03 09";-0,3858605;-0,9316664;-0,6396133;-0,4457939;1,095417;-0,1486008;-0,9605202;-1,119515;0,3042457;0,4204083
"07-03 10";-0,7320348;-0,9870278;-0,687721;-0,3816728;1,243988;-0,1486008;-1,02652;-0,8480992;0,3168763;0,3473642
"07-03 11";-1,050649;-0,8530839;-0,6761612;-0,469123;1,323293;-0,1486008;-1,025006;-0,4924601;0,3302482;0,305908
"07-03 12";-1,068654;-0,2700735;-0,4506668;-0,5614361;1,907032;-0,1486008;-0,7092394;-0,25614;0,3632213;-0,009035965
"07-03 13";-0,8451695;0,4651435;0,003157367;-0,2712869;2,244157;-0,1486008;-0,107775;-0,1720678;0,2838275;-0,3022487
"07-03 14";-0,3804781;0,5417156;-0,03914865;-0,09503794;2,640788;-0,1486008;-0,07600679;-0,3087632;0,2508635;-0,3425701
"07-03 15";0,3038124;0,1764555;-0,08639627;1,184868;1,803991;-0,1486008;0,009955211;-0,5049828;0,3784561;-0,568723
"07-03 16";0,3500219;-0,2105201;-0,335472;0,8345577;2,969282;-0,1486008;-0,34239;-0,5496569;0,4879447;-0,5327273
"07-03 17";0,3189853;-0,5681764;-0,4737396;0,7013331;2,95544;-0,1486008;-0,3337286;-0,535836;0,7495004;-0,3876985
"07-03 18";0,3099419;-0,729035;-0,597456;0,7552845;4,086505;-0,1486008;-0,5040026;-0,5003108;0,9398789;-0,2430638
"07-03 19";0,3051749;-0,8539262;-0,6221883;0,7180741;2,82613;-0,1486008;-0,5473159;-0,4722869;1,090564;-0,2266069
"07-03 20";0,2941386;-0,6113465;-0,5377749;0,3563504;1,667824;-0,1486008;-0,4263584;-0,3345588;1,150022;0,1403493
"07-03 21";-0,2353604;-0,3021593;-0,3562379;0,5069386;1,485134;-0,1486008;0,04971154;-0,2976255;1,136161;0,6569316
"07-03 22";-0,5180443;0,1894418;-0,1716917;0,5296134;0,9441215;-0,1486008;0,3439839;-0,2317982;1,105764;0,6814854
"07-03 23";-0,6072548;0,2259178;-0,06697834;0,3838452;0,6876251;-0,1486008;0,5103732;-0,3536237;0,9861484;0,657262
"08-03 00";-0,3658253;-0,08667404;-0,2105576;0,3387851;0,8251215;-0,1486008;0,0607565;-0,4801824;0,6916312;0,8235855
"08-03 01";0,1728696;0,1269585;-0,1586781;0,3080739;0,3654619;-0,1486008;0,1307855;-0,3482874;0,5989579;0,9197153
"08-03 02";-0,1206473;0,1943469;-0,1069218;0,2450667;0,3046463;-0,1486008;-0,02632242;-0,3910123;0,5658832;0,937113
"08-03 03";0,2835676;-0,3119004;-0,3600509;0,2816626;0,2666777;-0,1486008;-0,3640708;-0,5549852;0,6187589;0,8441154
"08-03 04";0,6526974;-0,9014035;-0,6624857;0,1587547;-0,02339748;-0,1486008;-0,8068073;-0,6108649;0,581914;0,6931593
"08-03 05";0,6011491;-1,358691;-1,006736;-0,1309535;0,295416;-0,1486008;-1,471524;-0,5904385;0,5703034;0,6514169
"08-03 06";0,488976;-1,274463;-0,8996372;-0,05439584;-0,2059336;-0,1486008;-1,315787;-0,4310156;0,5772755;0,4924165
"08-03 07";0,237998;-1,247642;-0,6873523;-0,2832064;-0,4714316;-0,1486008;-1,040702;-0,4764439;0,5545465;0,467211
"08-03 08";-0,2731529;-0,6880785;0,4219406;-0,4611871;1,203707;-0,1486008;0,4494613;-1,12236;0,4248311;0,797538
"08-03 09";-0,5360199;-0,837212;0,8017339;-0,4744787;1,03962;0,7463832;0,9841485;-1,232111;0,3775479;0,78988
"08-03 10";-0,862294;-1,420395;-0,07895781;-0,5059363;1,631425;-0,1723797;-0,2151637;-0,8834203;0,3819761;0,288337
"08-03 11";-1,337565;-1,350347;-0,03920754;-0,6235727;2,17973;-0,1765651;-0,157521;-0,5300781;0,5017066;0,0210515
"08-03 12";-1,102688;-0,6093091;0,3945663;-0,4764793;1,938792;-0,1765651;0,4136917;-0,2312575;0,5141484;-0,003971263
"08-03 13";-0,99519;0,1255267;0,7573001;-0,3006004;2,321316;-0,1765651;0,9260082;-0,163134;0,4642527;-0,01090197
"08-03 14";-0,6060599;0,2174346;1,536399;-0,1072539;3,14598;1,150444;1,675228;-0,3020184;0,4688594;0,05143859
